pair_num,human_id,ai_id,human_slope,ai_slope,human_int,ai_int,slope_diff
1,DDhx9Znow-I,C-44eycs1H5,-0.0005175367695372216,-0.011732541438983697,0.42311486466806764,0.3346845640090047,-0.011215004669446476
2,Cyv2nzcR0ic,DVMb9kqElDz,-0.003362730638462813,-0.008568015442747457,0.57911112582197,0.5355414308455525,-0.005205284804284643
3,DTIwN17jeaP,DNSWhv1uGjZ,-0.0033885543951753514,0.013101523507099885,0.6718381765423989,0.31910463824868207,0.016490077902275236
4,DU1U8PajE9B,DMyBan2tx-f,-0.0020095639462087474,0.01347349704445704,0.6351585614073033,-0.13446931260219513,0.015483060990665787
5,DQYB2QXEidj,DHOa6Ajt1dq,-0.00995843325342451,-0.007279621804175546,0.5744924443255505,0.3623385777400465,0.002678811449248964
6,DKcV3N1TsQm,C0sQkLEPkyC,-0.00947831731086936,-0.026701586047460986,0.549769133157455,0.34453622850053245,-0.017223268736591628
7,DVYOc42DJK9,DQcyILfj1Nx,-0.035950176417827634,-0.01785561782226228,-0.32144170006116224,0.23569063676728144,0.018094558595565354
8,DLi3y43shZY,DQhcx5VDMHT,-0.008404026264591859,0.007244236983250882,0.7124380551960929,0.014761884035407596,0.015648263247842742
10,DTr79-Yk6a4,Co-OeX8tLU-,-0.21180723980069163,0.003042985286031463,1.3907752885586688,0.5551876823107401,0.2148502250867231
11,Cy-If2RN884,DS46sWajEKe,-0.0006864750463994035,-0.003607823282519505,0.2823861896018593,-0.09431062596614916,-0.0029213482361201016
12,DTD6ISFD4Q-,DT5TuKfjWvD,0.004302379477741123,-0.07476665290606604,-0.03733343097724409,0.368949385416327,-0.07906903238380716
13,CzWZhRMPvrq,DPZX0snCLqL,0.0010226674103949172,-0.007128553128147378,0.3694271293643665,0.6900629183634164,-0.008151220538542295
14,C5-XuYytQJA,DVD1_XvCDTi,-0.0014189804167073908,0.008922150051797957,0.5542007372482742,-0.12834627754760503,0.010341130468505348
15,DVOsQAMiOGY,DLGLX5bIe9Q,-0.0015425777793073709,-0.09581435096986365,0.41727761240638034,0.9554619411627452,-0.09427177319055628
16,DU3SuY6CELe,DU2oB0uCOGt,0.0005514994715199325,-0.00644229326637522,0.457887660373341,0.49101561519407455,-0.006993792737895152
17,DRJ6WbgDHPj,DKYASe8Ivyo,0.002674022349682482,-0.023129417838757493,0.7943164437681765,0.4572072340208187,-0.025803440188439976
18,DSIYSSbDNd_,DRPrkoRDOoZ,-0.00756804738021965,0.009705161934788212,0.5530333770871765,0.06136375253624993,0.01727320931500786
19,DUSV9KtAh7_,DQjRfrPkmrF,0.033803551537649974,-0.025403550692967007,0.28104847882475176,0.42070422215121134,-0.05920710223061698
20,DQ7CQx0gr5i,DScKTvjDD6e,-0.006409218004255582,-0.001945897077138608,0.6561578549519934,0.09253473331530888,0.004463320927116974
22,DUyPt9VjsQ5,DRhZaJnASMQ,-0.0066286541946846645,-0.009043346418409934,0.23230428056472452,0.3671110384926505,-0.0024146922237252696
23,DMdI1V1x-FB,DLSxcoJNlxg,-0.002891406019767221,-0.001215045802987533,0.03967295915496594,0.1710804208835706,0.001676360216779688
24,DUf6bsWAXBE,DEglt6Xy4zZ,-0.007274190291207804,-0.0012757026206473912,0.4153646134965273,0.14774865968799103,0.005998487670560413
25,DU4prPtDcDC,CikP68Ej7du,0.002431230071589603,0.012151915504007927,0.05737109972307314,-0.1596595888235132,0.009720685432418323
26,Cn0U3pipNXd,C3oeAHmu5gB,0.005825129918405275,0.004861240634104098,0.00213043402652352,0.10980631999853185,-0.0009638892843011762
27,DCo8_2DRKy_,DOtnkYcCt1X,0.0017064072393855843,-0.0035054344593548393,0.24922331929815056,0.03257248434485219,-0.005211841698740423
28,DULiw0HjQcG,DRSGIcZEQRC,-0.004732499552928672,-0.002562250983046026,0.3387665497329162,0.3990581847955378,0.002170248569882646
29,DPl8zFJCG_-,CqW9uyIsXFJ,-0.0028199958864093934,-0.011459284934523868,-0.025017046055408415,0.286756664394371,-0.008639289048114476
30,CLR_n4pH0O5,DTCBCWEEWGC,0.003056216277137383,0.007316475201930319,0.13706225300321767,-0.23053718407695392,0.004260258924792936
31,DMKbF9jiE18,DT2lgb4k5Qe,-0.0011010061052380774,-0.005463190743773762,0.102301120891863,0.2658030830744127,-0.004362184638535684
32,DSQphyuDFC1,DUlMAD2lRix,-0.02222766631415912,-0.0050744193964575345,0.725910926149005,0.2016565419879614,0.017153246917701585
33,C_aGVOMymRL,DTv9sJGjD7-,-0.0010002446536620762,0.002158843847561855,0.16281540233661784,0.23808646969953362,0.0031590885012239313
34,DL41F9qgFZX,DR2OG7qEjMb,-0.01464419895932883,-0.009627629217563893,0.5521076644500906,0.017207559198141126,0.005016569741764938
35,DC40mMHy_a0,DSLEWPjkgrL,-0.012624960864076808,-0.011239697474699753,0.5651361093837388,0.19176035940647124,0.0013852633893770543
36,DSqevPEkjKs,DR2Y8p9giTt,-0.023785932407234655,-0.0068821977680896115,0.10323984722296398,0.3054705120220378,0.016903734639145043
37,DUEPtomjEPe,DMV_EO1N3qS,-0.017052280051367635,-0.0006906473791444459,0.1994862471308028,0.043147538105646775,0.016361632672223188
38,DKpBG-Ju0U7,DQGSvs-DDyl,0.009231367553181666,0.04814077044526735,-0.06474082862458574,-0.09438429400324816,0.038909402892085686
39,CognJlkJbtU,DSad9F2jfva,0.0030158976879583535,0.005496056280017009,-0.109036686098089,-0.11509153354399516,0.0024801585920586552
